; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67312484352,"PlanRigor","wisdom","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1503504335,"CurrentTimeLocal","Wed Aug 23 18:05:35 2017","Hostname","taurusi5104","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000227
; "Time_ContextDestroy [ms]", 0.000181
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,0,51,"fftw forward plan could not be created as wisdom is not available for this problem.",0.000637,0,0,0,0,0,0,0,0,152,0,152,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,1,51,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,2,51,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,3,51,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,4,51,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,5,51,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,6,51,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,7,51,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,8,51,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,9,51,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,10,51,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,11,51,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,0,52,"fftw forward plan could not be created as wisdom is not available for this problem.",0.001101,0,0,0,0,0,0,0,0,2888,0,2888,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,1,52,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,2,52,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,3,52,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,4,52,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,5,52,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,6,52,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,7,52,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,8,52,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,9,52,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
